Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.17.2026 15:11:52,T0,T1,0.6ft,0.04s
4.17.2026 15:11:52,T0,T2,8.4ft,0.04s
4.17.2026 15:11:52,T1,T2,8.6ft,0.04s
4.17.2026 15:11:52,T0,T1,0.5ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.4ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.4ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.3ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.7ft,0.05s
4.17.2026 15:11:52,T0,T1,0.3ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.7ft,0.05s
4.17.2026 15:11:52,T0,T1,0.3ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.7ft,0.05s
4.17.2026 15:11:52,T0,T1,0.3ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.7ft,0.05s
4.17.2026 15:11:52,T0,T1,0.3ft,0.05s
4.17.2026 15:11:52,T0,T2,8.4ft,0.05s
4.17.2026 15:11:52,T1,T2,8.7ft,0.05s
4.17.2026 15:11:52,T0,T1,0.3ft,0.05s
4.17.2026 15:11:52,T0,T2,8.3ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.4ft,0.05s
4.17.2026 15:11:52,T0,T2,8.3ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.5ft,0.05s
4.17.2026 15:11:52,T0,T2,8.3ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.5ft,0.05s
4.17.2026 15:11:52,T0,T2,8.2ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.6ft,0.05s
4.17.2026 15:11:52,T0,T2,8.2ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.6ft,0.05s
4.17.2026 15:11:52,T0,T2,8.2ft,0.05s
4.17.2026 15:11:52,T1,T2,8.6ft,0.05s
4.17.2026 15:11:52,T0,T1,0.7ft,0.05s
4.17.2026 15:11:52,T0,T2,8.1ft,0.05s
4.17.2026 15:11:52,T1,T2,8.5ft,0.05s
4.17.2026 15:11:52,T0,T1,0.6ft,0.05s
4.17.2026 15:11:52,T0,T2,8.1ft,0.05s
4.17.2026 15:11:52,T1,T2,8.5ft,0.05s
4.17.2026 15:11:52,T0,T1,0.6ft,0.05s
4.17.2026 15:11:52,T0,T2,8.0ft,0.05s
4.17.2026 15:11:52,T1,T2,8.5ft,0.05s
4.17.2026 15:11:53,T0,T1,0.6ft,0.05s
4.17.2026 15:11:53,T0,T2,8.0ft,0.05s
4.17.2026 15:11:53,T1,T2,8.5ft,0.05s
4.17.2026 15:11:53,T0,T1,0.6ft,0.05s
4.17.2026 15:11:53,T0,T2,8.0ft,0.05s
4.17.2026 15:11:53,T1,T2,8.5ft,0.05s
4.17.2026 15:11:53,T0,T1,0.5ft,0.05s
4.17.2026 15:11:53,T0,T2,8.0ft,0.05s
